Name,ID,Category,Network,Nation,Institution,GLAT,GLON,Start,End,Notes,Data Link
Kohler Glacier,KHLR/KOLR,GNSS/seismic,POLENET,USA,,-76.1546,-120.729,,,,
Lepley Nunatak,LPLY,GNSS,POLENET,USA,,-73.1111,-90.2992,,,,
Lonewolf Nunatak,LWN0/LONW,GNSS/seismic,POLENET,USA,,-81.3459,152.7316,,,,
Lower Thwaites Glacier,LTHW/DNTW,GNSS/seismic,POLENET,USA,,-76.4583,-107.782,,,,
Mt Bumstead,BUMS,GNSS,POLENET,USA,,-85.961,174.498,,,,
Mt Carbone,MCAR,GNSS,POLENET,USA,,-76.3222,-144.304,,,,
Mt Howe,HOWE,GNSS/seismic,POLENET,USA,,-87.4157,-149.434,,,,
Mt Paterson,PATN/MPAT,GNSS/seismic,POLENET,USA,,-78.03,-155.023,,,,
Mt Sidley,SDLY/SILY,GNSS/seismic,POLENET,USA,,-77.1353,-125.975,,,,
Mt Suggs,SUGG/MECK,GNSS/seismic,POLENET,USA,,-75.2806,-72.1801,,,,
Mt Walcott,WLCT,GNSS,POLENET,USA,,-85.3692,-87.3925,,,,
Pecora Escarpment,PECE/PECA,GNSS/seismic,POLENET,USA,,-85.6119,-68.5564,,,,
Pirrit Hills,PIRT,GNSS,POLENET,USA,,-81.1032,-85.1426,,,,
Rambo Nunataks,RMBO,GNSS/seismic,POLENET,USA,,-83.8732,-66.3938,,,,
Ramsey Glacier,RAMG,GNSS,POLENET,USA,,-84.3384,178.0471,,,,
Siple Dome,SIPL,seismic,POLENET,USA,,-81.6405,-148.955,,,,
Slater Rocks,SLTR,GNSS,POLENET,USA,,-75.098,-113.88,,,,
Stewart Hills,STEW,GNSS/seismic,POLENET,USA,,-84.187,-86.2473,,,,
Thurston Island,THUR,GNSS/seismic,POLENET,USA,,-72.5301,-97.5596,,,,
Toney Mountain,TOMO,GNSS,POLENET,USA,,-75.8019,-114.662,,,,
Union Glacier,UNGL,seismic,POLENET,USA,,-79.7747,-82.524,,,,
Upper Thwaites Glacier,UTHW/UPTW,GNSS/seismic,POLENET,USA,,-77.5821,-109.044,,,,
WAIS Divide,WAIS,seismic,POLENET,USA,,-79.4181,-111.778,,,,
Westhaven Nunatak,WHN0,GNSS,POLENET,USA,,-79.8457,154.2201,,,,
Whichaway Nunataks,WWAY/WAWA,GNSS/seismic,POLENET,USA,,-81.577,-28.4027,,,,
Whitmore Mountains,WHTM/WHIT,GNSS/seismic,POLENET,USA,,-82.6832,-104.393,,,,
Wilson Nunatak,WILN,GNSS,POLENET,USA,,-80.0398,-80.5579,,,,
Dr Leech,m78-337,magnetometers,BAS LPM,UK,BAS,-77.5233,336.5783,,,,
Bob,m79-336,magnetometers,BAS LPM,UK,BAS,-79.6767,335.8803,,,,
Edmund,m81-338,magnetometers,BAS LPM,UK,BAS,-80.8917,337.7533,,,,
Mrs Miggins,m82-003,magnetometers,BAS LPM,UK,BAS,-81.5,3,,,,
Baldrick,m83-348,magnetometers,BAS LPM,UK,BAS,-82.8994,347.7508,,,,
Baron Richthoven,m84-336,magnetometers,BAS LPM,UK,BAS,-84.3594,336.1483,,,,
Lord Melchett,m85-002,magnetometers,BAS LPM,UK,BAS,-85.3569,2.062222,,,,
Baby Eating Bishop,m85-096,magnetometers,BAS LPM,UK,BAS,-85.3894,95.97389,,,,
Flash heart,m87-028,magnetometers,BAS LPM,UK,BAS,-86.9992,28.41361,,,,
Speckled Jim,m87-069,magnetometers,BAS LPM,UK,BAS,-86.5147,68.175,,,,
Lord Whiteadder,m88-316,magnetometers,BAS LPM,UK,BAS,-88.0253,316.1344,,,,
PG6,PG6,magnetometers,BAS LPM,UK,BAS,-78.57,354.18,,,,
PG7,PG7,magnetometers,BAS LPM,UK,BAS,-75.7,357.33,,,,
PG0,PG0,magnetometers,AALPIP,USA,Virginia Tech,-83.67,88.68,,,,mist.ece.vt.edu
PG1,PG1,magnetometers,AALPIP,USA,Virginia Tech,-84.5,77.2,,,,mist.ece.vt.edu
PG2,PG2,magnetometers,AALPIP,USA,Virginia Tech,-84.42,57.96,,,,mist.ece.vt.edu
PG3,PG3,magnetometers,AALPIP,USA,Virginia Tech,-84.81,37.63,,,,mist.ece.vt.edu
PG4,PG4,magnetometers,AALPIP,USA,Virginia Tech,-83.34,12.25,,,,mist.ece.vt.edu
PG5,PG5,magnetometers,AALPIP,USA,Virginia Tech,-81.96,5.71,,,,mist.ece.vt.edu
P01,P01,magnetometers,AGO,USA,NJIT,-83.86,129.61,,,,
P03,P03,magnetometers,AGO,USA,NJIT,-82.8,28.6,,,,
P05,P05,magnetometers,AGO,USA,NJIT,-77.24,123.52,,,,
Case Western Reserve University,CWRU,Institutions,,USA,CWRU,41.5014374,-81.6071722,,,,
Space Science Institute,SSI,Institutions,,USA,SSI,40.0195862,-105.2428839,,,,
Polar Geospatial Center,PGC,Institutions,,USA,UMN,44.9842867,-93.1847772,,,,
